wage,education,sex
13.75,14,male
13.71,12,male
7.50,12,female
3.80,12,female
5.00,14,male
9.42,12,male
5.50,12,male
3.75,15,male
3.50,12,male
5.80,13,male
12.00,17,male
5.00,14,female
8.75,13,female
10.00,16,female
8.50,12,female
8.63,12,female
9.00,16,female
5.50,16,female
11.11,13,male
10.00,14,female
5.20,18,female
8.00,14,female
3.56,12,female
5.20,12,female
11.67,12,female
11.32,12,female
7.50,12,female
5.50,11,female
5.00,16,female
7.75,12,female
5.25,12,female
9.00,12,male
9.65,12,female
5.21,18,male
7.00,11,female
12.16,12,female
5.25,16,female
10.32,13,female
3.35,16,male
7.70,13,female
9.17,12,female
8.43,12,male
4.00,12,male
4.13,12,female
3.00,12,female
4.25,13,female
7.53,14,male
10.53,14,female
5.00,12,female
15.03,12,female
11.25,17,female
6.25,16,male
3.50,12,female
6.85,12,male
12.50,13,female
12.00,12,male
6.00,13,male
9.50,12,female
4.10,12,female
10.43,14,female
5.00,12,female
7.69,12,male
5.50,12,female
6.40,12,female
12.50,12,female
6.25,13,female
8.00,12,female
9.60,9,male
9.10,13,male
7.50,12,female
5.00,13,female
7.00,12,female
3.55,13,female
8.50,12,male
4.50,13,female
7.88,16,male
5.25,12,female
5.00,12,male
9.33,12,female
10.50,12,female
7.50,12,female
9.50,12,female
9.60,12,female
5.87,17,female
11.02,14,male
5.00,12,female
5.62,14,female
12.50,15,female
10.81,12,female
5.40,12,female
7.00,11,female
4.59,12,female
6.00,12,female
11.71,16,female
5.62,13,female
5.50,12,female
4.85,12,female
6.75,12,male
4.25,12,female
5.75,12,female
3.50,12,male
3.35,12,female
10.62,12,female
8.00,12,female
4.75,12,female
8.50,17,male
8.85,14,female
8.00,12,female
6.00,4,male
7.14,14,male
3.40,8,female
6.00,15,female
3.75,2,male
8.89,8,female
4.35,11,female
13.10,10,female
4.35,8,female
3.50,9,male
3.80,12,female
5.26,8,female
3.35,14,male
16.26,12,male
4.25,12,female
4.50,16,male
8.00,13,female
4.00,16,female
7.96,14,female
4.00,12,male
4.15,11,male
5.95,13,male
3.60,12,female
8.75,10,male
3.40,8,female
4.28,12,female
5.35,12,female
5.00,12,female
7.65,12,male
6.94,12,female
7.50,12,female
3.60,12,female
1.75,12,female
3.45,13,female
9.63,14,male
8.49,12,female
8.99,12,female
3.65,11,female
3.50,11,female
3.43,12,male
5.50,12,male
6.93,12,male
3.51,10,female
3.75,12,female
4.17,12,female
9.57,12,female
14.67,14,male
12.50,14,female
5.50,12,male
5.15,13,male
8.00,12,female
5.83,13,male
3.35,12,female
7.00,12,female
10.00,10,female
8.00,12,female
6.88,14,female
5.55,11,female
7.50,11,male
8.93,8,male
9.00,16,female
3.50,10,female
5.77,16,male
25.00,14,male
6.85,14,male
6.50,11,male
3.75,12,female
3.50,9,male
4.50,11,male
2.01,13,male
4.17,14,female
13.00,12,male
3.98,14,female
7.50,12,female
13.12,12,female
4.00,12,male
3.95,12,female
13.00,11,male
9.00,12,male
4.55,8,female
9.50,9,female
4.50,7,male
8.75,11,female
10.00,13,male
18.00,18,male
24.98,17,male
12.05,16,female
22.00,14,male
8.75,12,male
22.20,18,male
17.25,18,male
6.00,17,female
8.06,13,male
9.24,16,male
12.00,14,female
10.61,15,female
5.71,18,male
10.00,16,female
17.50,16,male
15.00,18,male
7.78,16,female
7.80,17,male
10.00,16,male
24.98,17,female
10.28,15,female
15.00,18,female
12.00,17,female
10.58,16,male
5.85,18,male
11.22,18,male
8.56,14,female
13.89,16,female
5.71,18,male
15.79,18,male
7.50,16,female
11.25,12,female
6.15,16,female
13.45,16,male
6.25,16,female
6.50,12,female
12.00,12,female
8.50,12,female
8.00,18,male
5.75,12,female
15.73,16,male
9.86,15,male
13.51,18,male
5.40,16,female
6.25,18,male
5.50,16,male
5.00,12,male
6.25,18,male
5.75,12,male
20.50,16,male
5.00,14,male
7.00,18,male
18.00,16,male
12.00,18,female
20.40,17,male
22.20,18,female
16.42,14,male
8.63,14,female
19.38,16,female
14.00,16,female
10.00,14,male
15.95,17,female
20.00,16,female
10.00,16,female
24.98,16,female
11.25,15,male
22.83,18,female
10.20,17,female
10.00,16,female
14.00,18,female
12.50,17,female
5.79,12,female
24.98,17,male
4.35,12,female
11.25,17,female
6.67,16,female
8.00,16,female
18.16,18,male
12.00,16,female
8.89,16,female
9.50,17,female
13.65,16,male
12.00,18,male
15.00,12,male
12.67,16,male
7.38,14,female
15.56,16,male
7.45,12,female
6.25,14,female
6.25,16,female
9.37,17,male
22.50,16,male
7.50,16,male
7.00,17,male
5.75,9,female
7.67,15,female
12.50,15,male
16.00,12,male
11.79,16,female
11.36,18,male
6.10,12,female
23.25,17,female
19.88,12,male
15.38,16,male
